Time_5ug/ml_5,5ug/ml_5,Time_5ug/ml_6,5ug/ml_6,Time_10ug/ml_8,10ug/ml_8,Time_10ug/ml_9,10ug/ml_9,Time_50ug/ml_11,50ug/ml_11,Time_50ug/ml_12,50ug/ml_12,Time_100ug/ml_14,100ug/ml_14,Time_100ug/ml_15,100ug/ml_15,Time_200ug/ml_17,200ug/ml_17,Time_200ug/ml_18,200ug/ml_18,Time_1000ug/ml_20,1000ug/ml_20,Time_1000ug/ml_21,1000ug/ml_21,Time_1500ug/ml_23,1500ug/ml_23,Time_1500ug/ml_24,1500ug/ml_24
0.0,1.1242272093037187e-05,0,-0.0004678253264347454,0.0,1.3086388569227836e-05,0.0,0.00021557638760683062,0.0,-4.937100119550841e-05,0.0,-6.605818419158638e-05,0.0,3.0570524949036226e-05,0.0,-0.000110598804497819,0.0,0.00010842164688673606,0.0,-0.00020387263727306149,0,-0.0003841942445905744,0.0,2.2997202595131938e-05,0,1.924582472478953e-05,0.0,-0.00023103734052631886
2.0,-1.1242272093037187e-05,2,0.0002328351268650053,2.0,-1.3086388569227836e-05,2.0,-0.00021557638760660858,2.0,4.937100119550841e-05,2.0,6.605818419136433e-05,2.0,-3.0570524949036226e-05,2.0,0.00011059880449804105,2.0,-0.00010842164688651401,2.0,0.00020387263727283944,2,0.0005016875388845765,2.0,-2.2997202594909893e-05,2,-0.00017418140677949445,2.0,0.0002310373405265409
4.0,-0.0004161050115005782,4,0.00023499019956907397,4.0,0.0001220119692384447,4.0,-0.00018371394389293805,4.0,-4.99882549696018e-05,4.0,-0.0005178959575833364,4.0,-0.00012357657975536895,4.0,-0.00037210999046144444,4.0,7.588838368155493e-06,4.0,-0.00016753145205927744,4,-0.0001174932942948903,4.0,-0.00037266053726381365,4,0.00015493558205492697,4.0,-0.0004571958809123089
6.0,-0.00019760021214287882,6,-0.00027008026491914805,6.0,-0.0003858600750721308,6.0,0.0003224306768396801,6.0,-0.0006822152883583232,6.0,-0.00037044204463598795,6.0,-0.0002597735567124726,6.0,-0.00014876455253931553,6.0,-6.468957116667617e-05,6.0,3.721401680101266e-05,6,-0.00019609966633504783,6.0,-0.0004265118568382853,6,0.0005623698437022817,6.0,-0.00011899778161916785
8.0,0.0002885218823782676,8,-0.0005182770050826679,8.0,4.5629023448068295e-05,8.0,-1.3607782741065222e-05,8.0,-0.00041268926694248975,8.0,-0.0002686524068282736,8.0,2.3059291079707833e-05,8.0,-0.0005460073780503283,8.0,-2.2524523155542653e-06,8.0,-0.00011631238941367528,8,9.292053453568982e-06,8.0,-0.0007098010291350931,8,0.0001583971344918389,8.0,-0.00019440675965176624
10.0,0.00044342933751573277,10,7.249652107188531e-05,10.0,0.00016130427899696542,10.0,0.0008492227724832269,10.0,0.0015030962790092417,10.0,2.705780306611061e-05,10.0,0.0011292788813173082,10.0,0.00223780507424709,10.0,0.0013641438998304167,10.0,0.0005269011858080042,10,0.0003071851205902476,10.0,0.003107123308309534,10,0.0001321971890249074,10.0,0.004585996323188013
12.0,0.005115052193826131,12,0.0015286885258209981,12.0,0.004893379943135434,12.0,0.004925125548395748,12.0,0.0061740026575143325,12.0,0.0052641816437741795,12.0,0.006590614231085201,12.0,0.00754145750499946,12.0,0.008970272455773642,12.0,0.009337892215101506,12,0.010109872626555605,12.0,0.024875860099184965,12,0.018858448319151844,12.0,0.030018897390249544
14.0,0.0045404077197255255,14,0.002625781751818934,14.0,0.004793625219548625,14.0,0.005582969701361629,14.0,0.0070791732670481,14.0,0.00613038068765559,14.0,0.008504973397616356,14.0,0.008882189339886715,14.0,0.012716549113210185,14.0,0.013005157776435627,14,0.027179439500717884,14.0,0.03131803316193427,14,0.032643336494067254,14.0,0.03573852573361114
16.0,0.004588001492847882,16,0.002986798233152621,16.0,0.005182111030621828,16.0,0.0054736678247477855,16.0,0.007553221400858234,16.0,0.006705447965265066,16.0,0.009685821785732962,16.0,0.01051794762565672,16.0,0.014922018601864817,16.0,0.01601697338943131,16,0.03220466337479677,16.0,0.03448787082534044,16,0.03623918479282584,16.0,0.03816876816031378
18.0,0.00497615609900115,18,0.0038636787874386513,18.0,0.005306309203510162,18.0,0.005560907613304522,18.0,0.007925640071076767,18.0,0.0073667067554701315,18.0,0.010669002097897229,18.0,0.011255483079916972,18.0,0.017449822557364048,18.0,0.017624414378540232,18,0.035145934224599884,18.0,0.03619219984171074,18,0.0391165105130995,18.0,0.04001424781391827
